1;"K";"UP";"Inez";"Mclean";"Hodge";"M";07/08/96;"79289943F";;"FALSE";"6394 Placerat Rd.";6;;13;47299;415709015;778063096;"eget.massa@Quisque.edu";0;"Quebec";0;"Tok";"FALSE";"FALSE";;;;;;;13/07/2003;;16/01/2011;"P";FALSE;FALSE;FALSE;FALSE;FALSE;0
2;"K";"UP";"Justina";"Lewis";"Brennan";"M";20/04/02;"88053974X";;"FALSE";"649-7187 Lorem Road";1;;28;94524;580727338;327216758;"turpis@lobortisultricesVivamus.com";0;"British Columbia";0;"Kalamazoo";"FALSE";"FALSE";;;;;;;27/10/2007;;28/02/2011;"R";FALSE;FALSE;FALSE;FALSE;FALSE;0
3;"K";"UP";"Jena";"Strickland";"Garner";"F";09/12/98;"89771911M";;"FALSE";"919-1828 Placerat St.";6;;16;89743;121208321;534163912;"malesuada.id@mauriselit.edu";0;"Fife";0;"Trenton";"FALSE";"FALSE";;;;;;;11/04/2005;;04/02/2011;"M";FALSE;FALSE;FALSE;FALSE;FALSE;0
4;"K";"UP";"Haley";"Cochran";"Hart";"M";01/09/02;"48743870H";;"FALSE";"848-7468 Nisi Road";10;;15;94128;729483954;926735940;"magna.nec@semPellentesque.edu";0;"QC";0;"Starkville";"FALSE";"FALSE";;;;;;;26/11/2003;;27/10/2010;"R";FALSE;FALSE;FALSE;FALSE;FALSE;0
5;"K";"UP";"Laurel";"Burke";"Calhoun";"M";15/06/01;"99510291D";;"FALSE";"Ap #191-7151 Luctus Avenue";7;;21;25578;887813999;66404107;"augue.id.ante@liberoduinec.edu";0;"Zeeland";0;"New Haven";"FALSE";"FALSE";;;;;;;21/03/2004;;30/06/2010;"M";FALSE;FALSE;FALSE;FALSE;FALSE;0
6;"K";"UP";"Timothy";"Flowers";"Ramsey";"M";14/03/95;"98645894S";;"FALSE";"P.O. Box 981, 7514 Imperdiet St.";5;;4;61552;506815370;547640561;"eu.euismod@duilectusrutrum.edu";0;"California";0;"Bowie";"FALSE";"FALSE";;;;;;;11/11/2004;;01/04/2010;"C";FALSE;FALSE;FALSE;FALSE;FALSE;0
7;"K";"UP";"Jane";"Mathews";"Sampson";"F";05/02/01;"81833722K";;"FALSE";"556-9086 Lacus. Road";1;;24;91137;829661028;23571428;"sagittis.augue.eu@lectuspedeet.edu";0;"Co. Offaly";0;"Caguas";"FALSE";"FALSE";;;;;;;28/01/2004;;01/02/2011;"T";FALSE;FALSE;FALSE;FALSE;FALSE;0
8;"K";"UP";"Caleb";"Huffman";"Lamb";"M";12/10/97;"38456878U";;"FALSE";"Ap #228-7428 Eleifend Rd.";10;;10;78704;230981644;513850174;"fermentum@ipsumacmi.ca";0;"Gr.";0;"Laguna Niguel";"FALSE";"FALSE";;;;;;;13/03/2006;;24/04/2010;"M";FALSE;FALSE;FALSE;FALSE;FALSE;0
9;"K";"UP";"Macon";"Obrien";"Dodson";"F";27/05/00;"26026812G";;"FALSE";"9360 In, Street";7;;12;70423;851589794;862218097;"ante.Nunc.mauris@sitamet.edu";0;"FL";0;"Omaha";"FALSE";"FALSE";;;;;;;25/04/2007;;01/10/2010;"T";FALSE;FALSE;FALSE;FALSE;FALSE;0
10;"K";"UP";"Daquan";"Hatfield";"Todd";"M";08/11/00;"48477130U";;"FALSE";"895-7777 In Rd.";5;;23;83635;439385946;806174297;"odio.tristique@imperdieterat.ca";0;"DE";0;"Anchorage";"FALSE";"FALSE";;;;;;;06/01/2011;07/12/2008;12/03/2011;"T";FALSE;FALSE;FALSE;FALSE;FALSE;0
11;"K";"UP";"Brian";"Vaughn";"Rowe";"F";01/12/94;"46500964D";;"FALSE";"901-1091 A Rd.";6;;26;61970;182910685;454236544;"lobortis.quam@sodales.ca";0;"YT";0;"Leominster";"FALSE";"FALSE";;;;;;;29/04/2009;;02/05/2010;"R";FALSE;FALSE;FALSE;FALSE;FALSE;0
12;"K";"UP";"Catherine";"Garrett";"Melton";"M";17/03/96;"63574019F";;"FALSE";"750-5663 Ultricies Street";9;;29;60999;808028966;464474115;"Fusce.aliquam@euismod.ca";0;"Ov.";0;"Hollywood";"FALSE";"FALSE";;;;;;;12/11/2008;;28/04/2010;"T";FALSE;FALSE;FALSE;FALSE;FALSE;0
13;"K";"UP";"Amery";"Pittman";"Mcintyre";"F";10/11/02;"20735651F";;"FALSE";"3595 Donec St.";10;;4;74391;313349146;454939048;"Nullam@malesuadavel.edu";0;"U.";0;"Oklahoma City";"FALSE";"FALSE";;;;;;;19/04/2010;;13/03/2011;"C";FALSE;FALSE;FALSE;FALSE;FALSE;0
14;"C";"UP";"Jakeem";"Garza";"Stone";"F";29/08/01;"82326185H";;"FALSE";"397 Eu Av.";2;;19;92020;723672105;951686348;"Quisque.ornare@luctus.edu";0;"Jersey";0;"Ashland";"FALSE";"FALSE";;;;;;;29/05/2010;;26/10/2010;"P";FALSE;FALSE;FALSE;FALSE;FALSE;0
15;"C";"UP";"Dennis";"Norris";"Gates";"F";30/04/99;"36400502Z";;"FALSE";"P.O. Box 196, 2779 Tempor Av.";3;;9;57793;539162715;616988741;"ante.Vivamus.non@nondapibus.ca";0;"MB";0;"Montpelier";"FALSE";"FALSE";;;;;;;07/09/2009;;17/02/2011;"C";FALSE;FALSE;FALSE;FALSE;FALSE;0
16;"J";"UP";"Lee";"Campbell";"Mason";"F";29/03/02;"91853777J";;"FALSE";"Ap #336-4917 Duis Street";7;;21;43120;99189847;494500529;"scelerisque@Suspendisseeleifend.org";0;"Noord Holland";0;"Florence";"FALSE";"FALSE";"Todd Rhodes Trevino";494500529;"et.pede@velit.com";"Gemma Trujillo Cline";494500529;"Integer.urna@blanditviverra.edu";26/12/2006;;17/03/2011;"T";FALSE;FALSE;FALSE;FALSE;FALSE;0
